,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
96,La Cane Bistro,Cafe, 4.4 stars ,"Shop no 2, Parmar CHS buildig, Paranjpe scheme B, road no 1, off, Hanuman Rd, next to Natural Icecream, Vile Parle East, Mumbai, Maharashtra 400057",['swiggy.com'],093726 21117,Open, ⋅ Closes 11 pm
97,Dinshaw’s Xpress Cafe,Cafe, 4.1 stars ,"Shop No.6, Windermere, New Link Rd, off Oshiwara, Mhada Colony, Andheri West, Mumbai, Maharashtra 400053",['swiggy.com'],090045 30507,Open, ⋅ Closes 12 am
98,Desire instant chai,Coffee shop, 4.4 stars ,"D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053","['swiggy.com', 'desireinstantchai.com']",098673 59830,Open, ⋅ Closes 10 pm
99,Cafe sultan,Fast food restaurant, 4.7 stars ,"cafe sultan,shop no.7,kalina jama masjid,kolivery village road, Kalina, Santacruz East, Mumbai, Maharashtra 400098","['swiggy.com', 'zomato.com', 'zomato.com']",075063 34455,Closed, ⋅ Opens 12 pm
100,TBHC -The Buddies Huddle Cafe,Vegetarian cafe and deli, 4.2 stars ,"Shop No. 5, Ameya House CHSL, Mumbai, Maharashtra 400058","['dineout.co.in', 'tbhc.dotpe.in', 'tbhc.dotpe.in']",098206 76790,Open, ⋅ Closes 12 am
101,Pishu's Cafe,Cafe, 4.3 stars ,"Shop No-8 ,New Shantivan Building,SAB TV Lane, Andheri West, SAB TV Rd, Mumbai, Maharashtra 400053",['swiggy.com'],098333 82021,Open, ⋅ Closes 1:04 am
102,The Bagel Shop,Cafe, 4.2 stars ,"30, Pali Mala Rd, Pali Hill, Mumbai, Maharashtra 400050",['swiggy.com'],098333 82021,Open, ⋅ Closes 10:30 pm
103,145 Kala Ghoda,Cafe, 4.4 stars ,"Temple Bar Building, 145, Mahatma Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001","['eazydiner.com', 'swiggy.com', 'swiggy.com', '145cafeandbar.com']",098333 82021,Closed, ⋅ Opens 12 pm
104,Cafe Marina,Cafe, 4.0 stars ,"सी पैलेस होटल, 26, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",['seapalacehotel.net'],098333 82021,Closed, ⋅ Opens 4 pm
105,Cafe Free India,Cafe, 4.2 stars ,"39/41, Ground Floor, 400013, NM Joshi Marg, opposite Deepak Cinema, Lower Parel West, Mumbai, Maharashtra 400013","['dineout.co.in', 'swiggy.com']",090227 80909,Closed, ⋅ Opens 12 pm
106,Chaayos Cafe Phoenix Marketcity Kurla,Cafe, 4.0 stars ,"Unit F, 43, Lal Bahadur Shastri Rd, Kamani, Ashok Nagar, Kurla, Mumbai, Maharashtra 400070","['eazydiner.com', 'chaayos.org']",090227 80909,Open, ⋅ Closes 11 pm
107,The Kettlery Tea Bar & Kitchen | Specialty Tea Boutique (Mumbai),Tea house, 4.4 stars ,"1, 2nd Floor, Horizon, 37 Juhu Beach, Juhu, Mumbai, Maharashtra 400049","['zomato.com', 'thekettlery.com']",090227 80909,Open, ⋅ Closes 12 am
108,Farzi Cafe,Modern Indian restaurant, 4.2 stars ,"Unit No. C-10B, Ground floor, Courtyard, High Street Phoenix, 462, Tulsi Pipe Rd, Lower Parel, Mumbai, Maharashtra 400050",['farzicafe.com'],074000 66824,Closed, ⋅ Opens 12 pm
109,Tea Villa Cafe Juhu,Cafe, 4.1 stars ,"Amar Mahal, Acharya Donde Marg, near Iskcon Temple, Jukarwadi, Juhu, Mumbai, Maharashtra 400049","['dineout.co.in', 'teavilla.in']",080808 50000,Open, ⋅ Closes 12 am
110,Elementaria Bakery Cafe,Cafe, 4.1 stars ,"Tian Building, Gulmohar Rd, JVPD Scheme, Juhu, Mumbai, Maharashtra 400058",['swiggy.com'],074003 84433,Open, ⋅ Closes 2 am
111,Grounded Cafe,Cafe, 4.1 stars ,"Shop no.1, Natalwala Bungalow, 41, BJ Road, Mount Mary, Bandra West, Mumbai, Maharashtra 400050",['instagram.com'],074003 84433,Open, ⋅ Closes 12 am
112,Silver Beach Cafe,Cafe, 4.2 stars ,"3/Plot, F-70, New Link Rd, near Laxmi Industrial Estate, Lokhandwala Complex, Andhe, Mumbai, Maharashtra 400053","['dineout.co.in', 'swiggy.com', 'zomato.com']",077108 82184,Open, ⋅ Closes 12:30 am
113,Cafe Sagar,Cafe, 4.4 stars ,"Nagpada Junction, Corner of, Bellasis Rd, Mumbai Central, Mumbai, Maharashtra 400008",[],077108 82184,Unavailable,Unavailable
114,The Street Cafe,Restaurant, 4.8 stars ,"4VFH+WRQ, Santacruz Electronic Export Processing Zone, Andheri East, Mumbai, Maharashtra 400047",[],077108 82184,Open, ⋅ Closes 11 pm
115,Second Home Cafe,Cafe, 4.4 stars ,"Shop No. 1&2, Marve Rd, Kishan Kunj, Adarsh Nagar, Malad West, Mumbai, Maharashtra 400064","['zomato.com', 'link.zomato.com', 'link.zomato.com']",077388 82628,Open, ⋅ Closes 11:30 pm
116,Café Coffee Day,Cafe, 4.2 stars ,"Ground Floor, Dev Chaaya CHS Ltd Opposite Sobo Central, Haji Ali, South Mumbai, Maharashtra 400034","['cafecoffeeday.com', 'cafecoffeeday.com']",077388 82628,Open, ⋅ Closes 12:55 am
117,Chaos Control Cafe,Cafe, 4.4 stars ,"Sobo Central Mall, Mumbai, Maharashtra 400034","['dineout.co.in', 'swiggy.com']",098190 01682,Open, ⋅ Closes 12:30 am
118,Blue Tokai Coffee Roasters | Versova,Cafe, 4.3 stars ,"Shop Number 6, JP Rd, opposite Palm Beach Apartment, Aram Nagar Part 1, Aram Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061","['eazydiner.com', 'swiggy.com', 'zomato.com', 'cafe.bluetokaicoffee.com']",081049 89927,Open, ⋅ Closes 11:30 pm
119,Cafe Holiday Versova,Cafe, 4.3 stars ,"7/11, Meera Apts, Juhu Versova Link Rd, opp. Versova Social, Seven Bunglow, Andheri West, Mumbai, Maharashtra 400053","['eazydiner.com', 'swiggy.com', 'instagram.com']",091520 15212,Closed, ⋅ Opens 12 pm
