,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
81,The Classique Club,Unknown, 4.3 stars ,"New Link Rd, behind Infiniti Mall, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",['classiqueclub.com'],070452 38390,Unavailable,Open 24 hours
82,THE GHETTO,Bar, 4.2 stars ,"Opp Tirupati Apartments, 30B, Bhulabhai Desai Marg, Breach Candy, Mahalakshmi, Mumbai, Maharashtra 400026",['zomato.com'],070452 38390,Closed, ⋅ Opens 7 pm
83,Matoshri Arts and Sports Trust,Night club, 4.1 stars ,"Meenatai Thackeray Playground, Suprimo Activity Center Matoshri, Jogeshwari - Vikhroli Link Rd, near Bharat Petrol Pump, Andheri East, Mumbai, Maharashtra 400093",[],070452 38390,Unavailable,Open 24 hours
84,Trilogy Super Club,Night club, 4.3 stars ,"969, Juhu Tara Rd, Airport Area, Juhu, Mumbai, Maharashtra 400049",['zomato.com'],070452 38390,Unavailable,Temporarily closed
85,Rude Lounge Malad,Lounge, 4.1 stars ,"Link House, 6th Floor, New Link Rd, near Malad West, Chincholi Bunder, Mumbai, Maharashtra 400064",[],077388 92804,Closed, ⋅ Opens 12 pm
86,Rotary Club Of Bombay West,Club, 4.2 stars ,"Gr. Floor, Rotary Club, Juhu Tara Rd, Mangelwadi, Shivaji Nagr, Santacruz West, Mumbai, Maharashtra 400054",['rcbw.org'],077388 92804,Open, ⋅ Closes 8 pm
87,Balls Of Fury,Pool hall, 5.0 stars ,"Basement, C J house, Apsara Cinema Building, Lamington Rd, Krishna Kunj, Grant Road East, Bharat Nagar, Grant Road, Mumbai, Maharashtra 400007",[],077388 92804,Unavailable,Unavailable
88,The Bombay Presidency Golf Club,Golf club, 4.4 stars ,"CG Rd, Borla, Union Park, Chembur, Mumbai, Maharashtra 400074",['bpgc-golf.com'],077388 92804,Open, ⋅ Closes 11 pm
89,Club Shaggarwal,Night club, 4.8 stars ,"Ocean View Building, 3rd floor bldg, Bhulabhai Desai Marg, Mumbai, Maharashtra",[],077388 92804,Unavailable,Temporarily closed
90,YEN in Mumbai,Lounge, 4.5 stars ,"Alli Chambers, Nagindas Master Rd, Mumbai, Maharashtra 400001",['dineout.co.in'],099200 39651,Closed, ⋅ Opens 5 pm
91,Anada Wine Club,Club, 4.6 stars ,"197, Cosmopolitan Education Society Marg, Shakti Nagar, Shanti Nagar, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053",['theclubmumbai.com'],099200 39651,Unavailable,Unavailable
92,"Bombay Riders Club, BKC",Sports club, 5.0 stars ,"3R3W+CQ9, Kala Nagar, Bandra East, Mumbai, Maharashtra 400051",[],099200 39651,Unavailable,Unavailable
93,Club Aquamarine,Night club, 5.0 stars ,"Aquamarine, Sangeet Samrat Naushad Ali Rd, Rizvi Complex, Union Park, Pali Hill, Mumbai, Maharashtra 400052",[],099200 39651,Unavailable,Temporarily closed
94,Rekha Friendship Club,Disco club, 3.7 stars ,"4RCJ+HP7, Shakti Nagar, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400047",['jimdosite.com'],086850 33490,Unavailable,Temporarily closed
95,Teqball club of Mumbai,Sports club, 5.0 stars ,"Premium Tower, Behind Highland Park &, Lion Sole Marg, Andheri West, Mumbai, Maharashtra 400053",['teqballmumbai.com'],074000 80650,Open, ⋅ Closes 10:30 pm
96,Radio Bar,Bar, 4.3 stars ,"3R9M+M9H, Guru Gangeshwar Marg, Khar, Khar West, Mumbai, Maharashtra 400052",['swiggy.com'],074000 80650,Closed, ⋅ Opens 6 pm
97,"Hoppipola, Mumbai, Powai",Pub, 4.1 stars ,"Galleria Shopping Centre 136, 138 A, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400013","['dineout.co.in', 'swiggy.com', 'bars-pubs.socialgoat.com']",074000 80650,Closed, ⋅ Opens 12 pm
98,Mumbai Press Club,Social club, 4.4 stars ,"Glass House, Mahapalika Marg, opp. BMC HQ, Azad Maidan, Mumbai, Maharashtra 400001",['mumbaipressclub.com'],074000 80650,Closed, ⋅ Opens 12 pm
99,Club Escape,Unknown, 2.8 stars ,"3/A, New Link Rd, Laxmi Industrial Estate, Lokhandwala Complex, Andheri West, Andheri, Maharashtra 400053",[],074000 80650,Unavailable,Unavailable
100,Bulls & Bears Restaurant & Bar,Bar, 4.1 stars ,"6/8 Rajabahadur Mansion , Ambalal Doshi Marg, behind BSE, Fort, Mumbai, Maharashtra 400001","['dineout.co.in', 'swiggy.com', 'bullsandbearsbse.com']",080978 83577,Closed, ⋅ Opens 11 am
101,Makers Club,Club,No rating available,"7 Gold Coin Apartments, Nehru Rd, Vakola, Santacruz East, Mumbai, Maharashtra 400055",[],097695 69364,Unavailable,Unavailable
102,Cams Club,Club, 3.0 stars ,"411, Samrath Vaibhav, Shree Swami Samrath Nagar, Andheri (W, Yamuna Nagar, Jogeshwari West, Mumbai, Maharashtra 400053",[],097695 69364,Unavailable,Unavailable
103,Rodeo Drive,Bar & grill, 4.1 stars ,"HOTEL, Peninsula redpine, Andheri East, Mumbai, Maharashtra 400059","['swiggy.com', 'peninsularedpine.com', 'peninsularedpine.in']",098199 95554,Closed, ⋅ Opens 4 pm
104,Club Lounge,Lounge, 4.0 stars ,"1st Floor, Sahar Elevated Access Road, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400059",[],098199 95554,Unavailable,Temporarily closed
105,antiSOCIAL,Restaurant, 4.3 stars ,"Plot 242, Mathuradas Mill Compound, Sitaram Jadhav Marg, Lower Parel, Mumbai, Maharashtra 400013","['swiggy.com', 'm.facebook.com']",075063 94240,Unavailable,Unavailable
106,yebf,Night club, 5.0 stars ,"192, CST Road, Friends Colony, Hallow Pul, Kurla, Mumbai, Maharashtra 400070",[],075063 94240,Unavailable,Temporarily closed
107,Bonobo,Pub, 4.2 stars ,"2nd floor, Kenilworth Plaza, Off Linking Rd, Phase II, Bandra West, Mumbai, Maharashtra 400050",['airmenus.in'],096199 30030,Closed, ⋅ Opens 6 pm
108,Copa,Lounge, 4.1 stars ,"Juhu Gymkhana Building, Anna Building, Opp, N S Rd Number 13, Vithal Nagar, Juhu, Mumbai, Maharashtra 400049",[],096199 30030,Closed, ⋅ Opens 6:30 pm
109,Dining Club,Club,No rating available,"Raheja Centre, Nariman Point, Mumbai, Maharashtra 400021",[],096199 30030,Unavailable,Unavailable
110,KAVITA CHOPRA NIGHT CLUB,Night club,No rating available,"WING-C, Kondivita Rd, Kondivita, Andheri East, Mumbai, Maharashtra 400047",[],082913 36415,Unavailable,Temporarily closed
111,Addu's,Night club,No rating available,"Addunation ❤️ 4, 5, Kurla West, Mumbai, Maharashtra 400070",[],082913 36415,Unavailable,Temporarily closed
