,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
26,Accio Gaming Zone,Game store, 5.0 stars ,"Ram chandra bhat marg 27th first floor, 2, near JJ Hospital Road, Noor Baug, Mumbai, Maharashtra 400009",[],Not available,Open, ⋅ Closes 12 am
27,PS4 club,Video arcade, 4.7 stars ,"Prime Mall, First floor, Irla Rd, opp. Alfa 1, Indira Nagar, Vile Parle West, Mumbai, Maharashtra 400047",[],079773 86490,Open, ⋅ Closes 11 pm
28,Funzone,Video arcade, 3.3 stars ,"S-29, Patelwadi.Kurla, Kamani, Ashok Nagar, Saki Naka, Mumbai, Maharashtra 400072",[],Not available,Unavailable,Unavailable
29,Webzone Gaming Cafe & Online Services,Video game store, 4.4 stars ,"6/46, OPP BHAVANA CHEMIST, CCI COLONY UNNAT NAGAR NO 4 , M.G. ROAD,, GOREGAON (W), Mumbai, Maharashtra 400104",[],070459 64405,Open, ⋅ Closes 10 pm
30,Gamer's Heaven Gaming Zone,Video game store, 4.5 stars ,"5XF7+22V, Mahatma Phule Rd, Gurupushyamrut Society, Gavanpada, Mahakali Nagar, Mulund East, Mumbai, Maharashtra 400081",[],084258 29999,Open, ⋅ Closes 11 pm
31,Timezone Phoenix Palladium Lower Parel,Amusement center, 4.1 stars ,"3rd Floor, East Wing, Phoenix Palladium, Tulsi Pipe Rd, Lower Parel, Mumbai, Maharashtra 400013",['timezonegames.com'],Not available,Open, ⋅ Closes 10 pm
32,Playzone,Video game store, 4.5 stars ,"36-K, Road No. 6, Govandi Slums, Govandi West, Phase II, Shivaji Nagar, Mumbai, Maharashtra 400043",[],Not available,Open, ⋅ Closes 10 pm
33,"KHELO , soft play zone @ ground floor",Game store, 5.0 stars ,"6R7X+3QV, Boraspada Rd, Kandivali, Jai Bhim Sanjay Nagar, Kandivali West, Mumbai, Maharashtra 400067",[],Not available,Unavailable,Unavailable
34,GAME ZONE,Video game store,No rating available,"Marol MIDC Industry Estate, Andheri East, Mumbai, Maharashtra 400069",['digitalgamezone.co.in'],Not available,Open, ⋅ Closes 7 pm
35,Yash Enterprises Cyber World & Gaming Zone,Internet cafe, 4.1 stars ,"Shop No-15,20,Radhabhai Bhatkar Chawl,Pump House, Jijamata Rd, Malpa Dongri, Andheri East, Mumbai, Maharashtra 400093",[],095946 06301,Open, ⋅ Closes 10 pm
