,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
49,Kingdom of Fun,Indoor playground, 3.9 stars ,"C/O D S VENTURES 1ST FLR SHAKTI TEXTILES SUNDER BAUG, Maharashtra 400088",[],077108 14433,Open, ⋅ Closes 8 pm
50,Deesign Park,Design agency, 1.0 stars ,"D/301 Dipti Greens, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",[],090046 36667,Unavailable,Unavailable
51,Sector - 48 Theme Park,Theme park, 5.0 stars ,"2278+CJ2 Sea, Nagarwoods, Sector-48, Seawoods, Navi Mumbai, Maharashtra 400706",[],Not available,Closed, ⋅ Opens 4 pm
52,Nahar Nature Park,Garden, 4.7 stars ,"Nahar Amrit Shakti, Chandivali, Powai, Mumbai, Maharashtra 400072",[],Not available,Open, ⋅ Closes 7 pm
53,BMC Forest Theme Garden,Garden, 4.2 stars ,"5RFM+C64, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400104",[],Not available,Closed, ⋅ Opens 3 pm
54,Deer Park,Park, 3.7 stars ,"4VJX+66M, Morarji Nagar, Powai, Mumbai, Maharashtra 400076",[],Not available,Open, ⋅ Closes 6:30 pm
55,Say Yes To Himalayas,Tour operator, 4.6 stars ,"GREEN PARK 1-A, Flat no.501/A, Parkland-I, Kulupwadi Rd, Borivali East, Mumbai, Maharashtra 400066",[],Not available,Open, ⋅ Closes 9 pm
56,Sewri Mangrove Park,Tourist attraction, 4.0 stars ,"XVW6+6MC, MPT, Sewari, Mumbai, Maharashtra 400015",[],Not available,Unavailable,Open 24 hours
57,Star Delta Construction,Construction and maintenance office, 4.9 stars ,"Kulupwadi, Borivali East, Mumbai, Maharashtra 400066",[],Not available,Open, ⋅ Closes 8 pm
58,EsselWorld,Amusement park, 4.3 stars ,"Global Pagoda Road, Gorai Island, Borivali West, Mumbai, Maharashtra 400092",['esselworld.in'],Not available,Unavailable,Temporarily closed
59,NAMCO - Biggest Indoor Amusement center,Amusement park, 4.2 stars ,"2 Floor Nexus Seawoods mall, Nerul west, Sector 30, Seawoods, Navi Mumbai, Maharashtra 400706",['bandainamcoindia.com'],Not available,Open, ⋅ Closes 11 pm
60,Let’s play,Indoor playground, 4.0 stars ,"4RPM+WC5, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400047",['letsplayparty.in'],Not available,Open, ⋅ Closes 9 pm
61,Red Carpet Wax Museum,Tourist attraction, 4.6 stars ,"R City Mall, 1, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",[],Not available,Open, ⋅ Closes 6 pm
62,Lion's Den - National Park,National park, 4.1 stars ,"6VPJ+MWW, Unnamed Road, Mumbai, Maharashtra 400101",[],Not available,Unavailable,Unavailable
63,"Happy Planet Kurla- Playzone for Kids,Teenagers & Adults",Indoor playground, 4.0 stars ,"Phoenix Market City, Level, 1, Lal Bahadur Shastri Rd, Kurla West, Mumbai, Maharashtra 400070",['happyplanet.in'],098330 67879,Open, ⋅ Closes 9 pm
64,Priyadarshini Park,Park, 4.5 stars ,"Nepean Sea Rd, Malabar Hill, Mumbai, Maharashtra 400006",['priyadarshinipark.org'],Not available,Closed, ⋅ Opens 4 pm
65,"H2O ""The Water Specialist""manufacturer",Consultant, 2.5 stars ,waterparks.in,"['waterparks.in', 'waterparks.in']",098901 06728,Open, ⋅ Closes 6 pm
66,Horniman Circle Garden,Park, 4.4 stars ,"11, Homji St, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",[],Not available,Open, ⋅ Closes 7:30 pm
67,Cidco Theme Park - Sector 18,Theme park, 4.7 stars ,"X29C+GQ3, Off Sai Krupa Residency, Sector 18, Ulwe, Navi Mumbai, Maharashtra 410206",[],Not available,Unavailable,Unavailable
68,Lions Juhu Children's Municipal Park,Park, 4.1 stars ,"Nehru Rd, Police Colony, Santacruz West, Mumbai, Maharashtra 400054",[],Not available,Closed, ⋅ Opens 3:30 pm
69,BMC Garden & Children's Park (कै. महेश मधुकर बोभाटे मनोरंजन उद्यान)),Park, 4.1 stars ,"C 1, Pandurang Budhkar Marg, Kamagar Nagar Number 1, Century Mills, Lower Parel, Mumbai, Maharashtra 400025",[],Not available,Closed, ⋅ Opens 4 pm
70,Children playground,Park, 5.0 stars ,"3VJ9+7R4, Kolivery Village, Indian Airlines Staff Colony 2, Santacruz East, Mumbai, Maharashtra 400029",[],Not available,Unavailable,Unavailable
71,Underneath Nitin Cadbury Flyover Kids Park and Play Area,Park, 4.3 stars ,"5XX7+VGR, Nitin - Cadbury Flyover, Dandekar Colony, Panch Pakhdi, Thane West, Thane, Maharashtra 400601",[],Not available,Open, ⋅ Closes 10 pm
72,SAINA RESORT,Unknown, 3.6 stars ,"Pascal wadi, Patil wadi Madh, Madh, Raheja Exotica, Malad West, Mumbai, Maharashtra 400061",['sainaresort.com'],098332 58511,Unavailable,Unavailable
73,Indian Association Of Amusement Parks And Industries (IAAPI),Association or organization, 4.4 stars ,"404, Shreya House Pareira Hill Road, Off, Sir Mathuradas Vasanji Rd, opposite Gurunanak Petrol Pump, Andheri East, Mumbai, Maharashtra 400099",['iaapi.org'],090290 31643,Open, ⋅ Closes 6 pm
74,Rajiv Gandhi Joggers Park,Park, 4.4 stars ,"3XJR+C9Q, Rajiv Gandhi Jogers Park, Navi Mumbai, 400703",[],Not available,Closed, ⋅ Opens 4 pm
75,Extreme Sports India,Adventure sports, 5.0 stars ,"Solitaire Park, Business Square, A-201, First Floor, Chakala, Andheri East, Mumbai, Maharashtra 400093",[],Not available,Open, ⋅ Closes 7 pm
76,Children Park,Park, 4.2 stars ,"4WG7+WVH, IIT Area, Powai, Mumbai, Maharashtra 400076",[],Not available,Unavailable,Unavailable
77,Kids play area,Park,No rating available,"3VJW+6V4, Kirol Village, Vidyavihar West, Ghatkopar West, Mumbai, Maharashtra 400086",[],Not available,Unavailable,Unavailable
78,Kids garden,Park, 4.2 stars ,"Five, Mancherji Joshi Rd, Parsee Colony, Dadar, Mumbai, Maharashtra 400014",[],Not available,Closed, ⋅ Opens 4 pm
79,Childrens Park,Park,No rating available,"2R7W+R5R, Flyover Under, Dadar East, Mumbai, Maharashtra",[],Not available,Unavailable,Unavailable
80,Woop Mumbai: India's Most Favourite Trampoline Park,Amusement park, 4.4 stars ,"SR 41A, 1st Floor, Shreyas Industrial Estate, B - 62, Off New Link Rd, next to Mongines cake factory, NESCO, Andheri West, Andheri, Maharashtra 400053",['woopindia.com'],095125 25858,Unavailable,Temporarily closed
81,Rush Indoor Play Zone,Indoor playground, 4.2 stars ,"10, 12, Cochin St, Ballard Estate, Fort, Mumbai, Maharashtra 400001","['zomato.com', 'rushindia.in']",098200 74277,Open, ⋅ Closes 8 pm
82,Musical Instrument Park,Theme park, 4.1 stars ,"3358+C3X, Unnamed Road, Sector 23, Kharghar, Navi Mumbai, Maharashtra 410210",[],Not available,Unavailable,Unavailable
83,Park,Park, 4.0 stars ,"XRXH+M6H, Lower Parel, Mumbai, Maharashtra 400013",[],Not available,Unavailable,Unavailable
84,Kids park,Park, 4.0 stars ,"WR44+MH9, Old Navy Nagar, Colaba, Mumbai, Maharashtra 400005",[],Not available,Open, ⋅ Closes 6 pm
85,The Riot Room,Children's amusement center, 4.3 stars ,"A2, Kothari Warehouse No. 3, Near Laxmi Snacks Opposite, Tikuji Ni Wadi Rd, Happy Valley, Manpada, Thane, Maharashtra 400607",[],Not available,Open, ⋅ Closes 8 pm
86,Park,Park, 3.8 stars ,"XRC7+VVX, Janata Nagar, Tardeo, Mumbai, Maharashtra 400034",[],Not available,Unavailable,Unavailable
87,Purple Panda - Kids Indoor Play Area,Indoor playground, 4.4 stars ,"Second Floor, Famous Cine Labs, Plot 156, Beside Sardar Pav Bhaji, Tardeo Rd, above Axis Bank, Tardeo, Mumbai, Maharashtra 400034",['instagram.com'],088281 23704,Open, ⋅ Closes 8 pm
88,Sargam Water Park,Water park, 3.4 stars ,"Survey No. 52, Kaman Bhiwandi road,Off N.H 8, Near Rly. Crossing Chinchoti, Village, Nagale, Vasai East, Thane, Maharashtra 401102",['sargamwaterpark.com'],084248 23536,Open, ⋅ Closes 6 pm
89,Dolphin Aquarium,Aquarium, 3.4 stars ,"1, Narveer Tanaji Malusare Marg, Navpada, Irla, Vile Parle West, Mumbai, Maharashtra 400056",['zomato.com'],Not available,Open, ⋅ Closes 7 pm
