,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
52,Mumbai International Cruise Terminal,Tourist attraction, 4.3 stars ,"Shoorji Vallabhdas Rd, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",[],Not available,Unavailable,Unavailable
53,Babulnath Mandir,Hindu temple, 4.8 stars ,"16, Babulnath Rd, Charni Road, Babulnath, Dadi Sheth Wadi, Malabar Hill, Mumbai, Maharashtra 400007",['babulnath.com'],Not available,Open, ⋅ Closes 9 pm
54,Marine Drive,Tourist attraction, 4.7 stars ,"WRMF+67X, Marine Drive, Chowpatty, Marine Lines, Mumbai, Maharashtra 400021",[],Not available,Unavailable,Open 24 hours
55,Band Stand,Scenic spot, 4.4 stars ,"BJ Road, Mount Mary, Bandra West, Mumbai, Maharashtra 400050",[],Not available,Unavailable,Open 24 hours
56,No Escape Bandra : Live Mystery Room,Escape room center, 4.6 stars ,"B18, Hill Road, Elco Market, Elco Arcade, Bandra (W, Maharashtra 400050",['noescape.in'],098208 90098,Open, ⋅ Closes 9:30 pm
57,Gandhi Tekdi,Tourist attraction, 4.4 stars ,"Gandhi Smarak, Gandhi Smarak Rd, Borivali, Mumbai, Maharashtra 400066",[],Not available,Open, ⋅ Closes 6:30 pm
58,August Kranti Maidan,Playground, 4.3 stars ,"1, Tejpal Rd, Dadi Sheth Wadi, Tardeo, Mumbai, Maharashtra 400007",[],Not available,Open, ⋅ Closes 9 pm
59,Rao Saheb Patwardhan Udhyan,Garden, 4.2 stars ,"3R7M+PJ4, Khar West, Mumbai, Maharashtra 400050",[],Not available,Closed, ⋅ Opens 4 pm
60,International Society for Krishna Consciousness® (ISKCON® - Juhu),Hindu temple, 4.7 stars ,"ISKCON®, Hare Krishna Land, Sri Mukteshwar Devalaya Rd, Marg, Sainath Nagar, MHADA Colony, Juhu, Mumbai, Maharashtra 400049",['iskconmumbai.com'],Not available,Open, ⋅ Closes 1 pm ⋅ Reopens 4:15 pm
61,Caves Zone,Historical place, 4.4 stars ,"6W54+C9Q, Mumbai, Maharashtra 400101",[],Not available,Open, ⋅ Closes 5:30 pm
62,Worli Fort,Fortress, 4.2 stars ,"2RF8+FPM, Worli village, near worli, fort, Mumbai, Maharashtra 400030",[],Not available,Open, ⋅ Closes 7 pm
